Symbol,logFC,p_value
AK3,-0.460614694,0.576698001
RCL1,0.069290245,0.999988109
AL158147.1,-2.84E-12,0.999988109
JAK2,0.983353016,1.78E-13
IGHEP2,0.103092675,0.999988109
INSL4,4.257365521,0.999988109
RLN2,-1.236096841,0.999988109
RLN1,17.00518931,0.999988109
AL135786.2,15.86283103,0.999988109
PLGRKT,0.66598032,0.012238454
CD274,0.492022963,0.037644652
PDCD1LG2,16.58256732,0.999988109
AL162253.1,-2.84E-12,0.999988109
RIC1,0.09078511,0.999988109
AL136980.1,-2.84E-12,0.999988109
ERMP1,0.310635844,0.999988109
KIAA2026,-0.24425208,0.999988109
MLANA,-2.84E-12,0.999988109
RANBP6,-0.77025022,0.021560153
AL162384.1,-2.84E-12,0.999988109
IL33,-2.84E-12,0.999988109
TPD52L3,-2.84E-12,0.999988109
UHRF2,-0.042261981,0.999988109
GLDC,-0.960153042,0.79019297
AL162411.1,16.58263689,0.999988109
AL354707.2,-2.84E-12,0.999988109
AL354707.1,-1.502674347,0.692232241
KDM4C,0.183978791,0.999988109
AL354694.1,-2.84E-12,0.999988109
DMAC1,-0.230839138,0.599905756
AL135923.1,-2.84E-12,0.999988109
AL135923.2,-2.84E-12,0.999988109
PTPRD,-2.84E-12,0.999988109
PTPRD-AS1,-2.84E-12,0.999988109
AL596451.1,-2.84E-12,0.999988109
AL513422.1,-2.84E-12,0.999988109
PTPRD-AS2,-2.84E-12,0.999988109
AL135790.1,-2.84E-12,0.999988109
AL162413.1,-2.84E-12,0.999988109
AL451129.1,-2.84E-12,0.999988109
AL589678.1,-2.84E-12,0.999988109
TYRP1,-2.84E-12,0.999988109
LURAP1L-AS1,-2.84E-12,0.999988109
LURAP1L,-2.84E-12,0.999988109
MPDZ,-2.84E-12,0.999988109
LINC01235,15.86281498,0.999988109
AL583785.1,-2.84E-12,0.999988109
LINC00583,-2.84E-12,0.999988109
AL360089.1,-2.84E-12,0.999988109
AL136366.1,15.86282896,0.999988109
AL159169.3,-2.84E-12,0.999988109
AL159169.2,-2.120469442,0.999988109
ZDHHC21,0.740188061,0.951935675
CER1,-2.84E-12,0.999988109
FREM1,-2.84E-12,0.999988109
AL512643.1,-2.84E-12,0.999988109
TTC39B,-1.179851865,0.113102808
SNAPC3,0.228527485,0.999988109
PSIP1,-0.54397515,0.336223361
C9orf92,-2.84E-12,0.999988109
BNC2,-2.84E-12,0.999988109
AL449983.1,-2.84E-12,0.999988109
AL450003.1,-2.84E-12,0.999988109
BNC2-AS1,-2.84E-12,0.999988109
AL358117.1,-2.84E-12,0.999988109
AL162725.2,-2.84E-12,0.999988109
CNTLN,16.58259997,0.999988109
SH3GL2,-2.84E-12,0.999988109
ADAMTSL1,-2.84E-12,0.999988109
AL442638.1,-2.84E-12,0.999988109
SAXO1,-2.84E-12,0.999988109
RRAGA,-0.279434966,0.021052457
HAUS6,-0.081126598,0.999988109
PLIN2,0.068810519,0.999988109
DENND4C,-0.182883633,0.999988109
AL161909.2,-2.84E-12,0.999988109
AL391834.1,-2.210164393,0.435944092
AL391834.2,0.169053204,0.999988109
RPS6,-0.121274444,1.17E-16
ACER2,-2.231575357,0.999988109
SLC24A2,-2.84E-12,0.999988109
AL591222.1,15.86284408,0.999988109
MLLT3,-0.763040978,0.07510181
FOCAD,-0.124734999,0.999988109
FOCAD-AS1,-2.84E-12,0.999988109
HACD4,-0.37366683,0.999988109
IFNB1,-2.84E-12,0.999988109
IFNW1,-2.84E-12,0.999988109
IFNA21,-2.84E-12,0.999988109
IFNA4,-2.84E-12,0.999988109
IFNA7,-2.84E-12,0.999988109
IFNA10,-2.84E-12,0.999988109
IFNA16,-2.84E-12,0.999988109
IFNA17,-2.84E-12,0.999988109
IFNA14,-2.84E-12,0.999988109
IFNA5,15.86282938,0.999988109
KLHL9,0.086598094,0.999988109
IFNA6,-2.84E-12,0.999988109
IFNA13,-2.84E-12,0.999988109
IFNA2,-2.84E-12,0.999988109
AL353732.1,-2.84E-12,0.999988109
IFNA8,-2.84E-12,0.999988109
IFNA1,-2.84E-12,0.999988109
MTAP,-0.067211953,0.999988109
AL359922.1,-2.84E-12,0.999988109
AL359922.2,-2.231575356,0.999988109
CDKN2A-DT,-2.84E-12,0.999988109
CDKN2A,-1.018400165,0.241187857
CDKN2B,-2.746614074,0.746300901
AL157937.1,-2.84E-12,0.999988109
DMRTA1,-2.84E-12,0.999988109
LINC01239,-2.84E-12,0.999988109
AL391117.1,-2.84E-12,0.999988109
AC017067.1,-2.84E-12,0.999988109
AL445623.2,-2.84E-12,0.999988109
AL445623.1,-2.84E-12,0.999988109
ELAVL2,-2.84E-12,0.999988109
AL365204.1,-2.84E-12,0.999988109
AL365204.2,-2.84E-12,0.999988109
IZUMO3,-2.84E-12,0.999988109
AL353811.1,-2.84E-12,0.999988109
TUSC1,-8.935084715,0.058694477
LINC01241,-2.84E-12,0.999988109
AL353753.1,-2.84E-12,0.999988109
AL451137.1,-2.84E-12,0.999988109
AL356133.2,-2.84E-12,0.999988109
CAAP1,0.011774491,0.999988109
PLAA,0.242234207,0.614833283
IFT74,-0.179327606,0.999988109
LRRC19,-2.84E-12,0.999988109
AL355432.1,-2.84E-12,0.999988109
TEK,-2.84E-12,0.999988109
EQTN,-2.84E-12,0.999988109
MOB3B,-2.84E-12,0.999988109
AL163192.1,-2.84E-12,0.999988109
IFNK,-2.84E-12,0.999988109
C9orf72,-1.726056915,0.473588696
AL360014.1,-2.84E-12,0.999988109
LINGO2,-2.84E-12,0.999988109
LINC01242,-2.84E-12,0.999988109
LINC01243,-2.84E-12,0.999988109
ACO1,-0.355068279,0.999988109
DDX58,-0.292049214,0.999988109
TOPORS,0.019652111,0.999988109
SMIM27,-0.096297697,0.999988109
NDUFB6,-0.23576128,0.006783972
TAF1L,-2.84E-12,0.999988109
AL589642.1,-2.84E-12,0.999988109
AL589642.2,-2.84E-12,0.999988109
TMEM215,-2.84E-12,0.999988109
AL157884.2,-2.84E-12,0.999988109
APTX,0.011400928,0.999988109
DNAJA1,0.101328759,0.173889803
SMU1,-0.133050258,0.589090655
B4GALT1,0.106423419,0.999988109
SPINK4,-2.84E-12,0.999988109
BAG1,0.073033056,0.961998239
CHMP5,0.429148963,0.01193488
NFX1,0.094366012,0.999988109
AQP7,4.257364767,0.999988109
AL356218.1,-2.84E-12,0.999988109
AQP3,-1.760821993,3.72E-07
NOL6,-0.083285773,0.999988109
AL139008.2,-2.84E-12,0.999988109
ANKRD18B,16.90231108,0.999988109
CYP4F26P,-2.84E-12,0.999988109
TRBV21OR9-2,#NAME?,0.201785062
TRBV22OR9-2,-2.84E-12,0.999988109
TRBV23OR9-2,-2.84E-12,0.999988109
TRBV24OR9-2,-2.84E-12,0.999988109
TRBV25OR9-2,-2.84E-12,0.999988109
AL356489.3,-2.84E-12,0.999988109
TRBV26OR9-2,-2.84E-12,0.999988109
AL356489.2,-2.84E-12,0.999988109
AL356489.1,-2.84E-12,0.999988109
LINC01251,-2.84E-12,0.999988109
PRSS3,-2.84E-12,0.999988109
UBE2R2-AS1,-2.84E-12,0.999988109
TRBV29OR9-2,-2.84E-12,0.999988109
UBE2R2,-0.360507434,0.197073606
UBAP2,-0.051805879,0.999988109
AL354989.1,-2.84E-12,0.999988109
DCAF12,0.117559009,0.999988109
UBAP1,-0.222838404,0.57850639
KIF24,-0.031730655,0.999988109
NUDT2,0.487627817,0.301837981
MYORG,-1.821051536,0.875442041
FAM219A,1.082441911,0.999988109
DNAI1,-2.84E-12,0.999988109
ENHO,-2.84E-12,0.999988109
AL160270.1,-2.84E-12,0.999988109
CNTFR,15.86281392,0.999988109
CNTFR-AS1,-2.84E-12,0.999988109
RPP25L,-0.319391018,0.176578751
DCTN3,0.126868203,0.999988109
ARID3C,-2.84E-12,0.999988109
SIGMAR1,0.104530116,0.999988109
GALT,0.457287969,0.561444121
AL162231.3,-2.84E-12,0.999988109
IL11RA,0.850658985,0.999988109
AL162231.1,-0.021679169,0.999988109
AL162231.2,-2.897470682,0.922077162
CCL19,-2.84E-12,0.999988109
CCL21,-2.84E-12,0.999988109
FAM205A,-2.84E-12,0.999988109
FAM205C,-2.84E-12,0.999988109
DNAJB5,0.446080661,0.401317461
VCP,0.277912484,2.01E-05
FANCG,1.297058023,0.999988109
PIGO,-0.269630405,0.999988109
AL353795.2,15.86282956,0.999988109
STOML2,0.254558872,0.002922668
FAM214B,-0.319697754,0.999988109
UNC13B,-2.399779956,0.615079534
FAM166B,-2.84E-12,0.999988109
TESK1,-0.874330538,4.96E-12
CD72,-2.42334915,4.82E-12
AL357874.2,-2.84E-12,0.999988109
AL357874.1,-3.768699442,0.083606614
SIT1,-2.027078515,1.20E-10
RMRP,1.319886821,0.012532346
CCDC107,-0.953977872,7.70E-08
CA9,#NAME?,0.04918704
TLN1,-0.235606124,0.201785062
CREB3,-0.233669369,0.829760281
GBA2,0.929546568,0.29477723
RGP1,-0.081657352,0.999988109
MSMP,15.96500153,0.999988109
AL133410.1,1.571743158,0.493961552
NPR2,-0.711926189,0.885395413
HINT2,0.093753901,0.999988109
TMEM8B,-0.946892066,0.999988109
FAM221B,-2.84E-12,0.999988109
OR13J1,-2.84E-12,0.999988109
HRCT1,-2.84E-12,0.999988109
SPAAR,-2.84E-12,0.999988109
OR2S2,-2.84E-12,0.999988109
RECK,-1.805697344,0.034219158
GLIPR2,-0.572875056,0.233615142
CCIN,-2.84E-12,0.999988109
CLTA,0.128322743,0.31332461
GNE,-0.18605082,0.999988109
RNF38,-0.120729811,0.999988109
PAX5,-2.84E-12,0.999988109
AL450267.1,-2.84E-12,0.999988109
AL161781.2,-2.84E-12,0.999988109
LINC01400,-2.84E-12,0.999988109
AL512604.3,-1.620965647,0.583420038
EBLN3P,-0.16272777,0.947809221
AL512604.2,-2.84E-12,0.999988109
ZCCHC7,0.079066458,0.999988109
LINC01627,-2.84E-12,0.999988109
GRHPR,-0.184591344,0.999988109
ZBTB5,-0.020626899,0.999988109
POLR1E,0.21492365,0.623862528
AL513165.1,0.433196858,0.999988109
FBXO10,0.461271769,0.999988109
AL513165.2,4.257359681,0.999988109
TOMM5,0.121696633,0.000485296
AL138752.2,#NAME?,0.04918704
FRMPD1,-2.84E-12,0.999988109
TRMT10B,-0.447603511,0.750550208
EXOSC3,0.048125891,0.999988109
DCAF10,-0.505192226,0.090995461
SLC25A51,-0.146513416,0.999988109
SHB,-1.195194089,0.146023255
AL135785.1,-2.84E-12,0.999988109
ALDH1B1,-1.95096259,0.002865912
IGFBPL1,-2.84E-12,0.999988109
FAM95C,1.020488371,0.999988109
ANKRD18A,-0.890651483,0.58426071
FAM201A,-2.271052992,0.002947324
FAM240B,-2.84E-12,0.999988109
AL845311.1,-2.84E-12,0.999988109
CNTNAP3,-2.84E-12,0.999988109
SPATA31A1,-2.84E-12,0.999988109
FAM74A1,-2.84E-12,0.999988109
BX005214.1,-2.84E-12,0.999988109
BX005214.2,-2.84E-12,0.999988109
AL773545.1,-2.84E-12,0.999988109
ANKRD20A2,15.86285138,0.999988109
FAM95B1,-2.84E-12,0.999988109
BMS1P14,#NAME?,0.074712399
FP325318.1,-2.84E-12,0.999988109
IGKV1OR9-2,-2.84E-12,0.999988109
AL353626.1,-2.84E-12,0.999988109
BX255923.1,-2.84E-12,0.999988109
BX255923.2,-2.84E-12,0.999988109
FOXD4L6,4.257184252,0.999988109
CBWD6,-0.709659358,0.908100919
AL845472.1,-2.84E-12,0.999988109
AL354718.2,-2.84E-12,0.999988109
AL591926.2,-2.84E-12,0.999988109
CNTNAP3B,-2.84E-12,0.999988109
SPATA31A6,-2.84E-12,0.999988109
FAM74A7,-2.84E-12,0.999988109
AL445584.2,-2.84E-12,0.999988109
BX088651.2,-2.84E-12,0.999988109
BX664718.1,-2.84E-12,0.999988109
AL591441.2,-2.84E-12,0.999988109
AL591441.1,-2.84E-12,0.999988109
SPATA31A5,-2.84E-12,0.999988109
AL590491.2,-2.84E-12,0.999988109
SPATA31A7,-2.84E-12,0.999988109
BX005040.3,-2.84E-12,0.999988109
BX005040.1,-2.84E-12,0.999988109
BX088645.1,-2.84E-12,0.999988109
AL935212.2,-2.84E-12,0.999988109
AL935212.1,-2.84E-12,0.999988109
FAM27C,0.309188924,0.999988109
AL391987.4,-2.84E-12,0.999988109
AL391987.2,-2.84E-12,0.999988109
AL391987.3,-2.84E-12,0.999988109
CR769775.2,-2.84E-12,0.999988109
AL590399.3,-2.84E-12,0.999988109
AL590399.5,-2.84E-12,0.999988109
LINC01189,-2.84E-12,0.999988109
BX005266.2,-3.100426077,0.951191557
LINC01410,-2.84E-12,0.999988109
AL512625.3,0.321939346,0.999988109
AL512625.1,-1.407492621,0.999988109
AL772155.1,-2.84E-12,0.999988109
CR786580.1,-2.84E-12,0.999988109
ANKRD20A4,-2.84E-12,0.999988109
IGKV1OR-2,-2.84E-12,0.999988109
IGKV1OR9-1,-2.84E-12,0.999988109
CBWD5,-0.620794834,6.72E-12
FOXD4L4,-2.84E-12,0.999988109
IGKV1OR-3,-2.84E-12,0.999988109
AL136317.2,-2.84E-12,0.999988109
ANKRD20A3,-2.84E-12,0.999988109
AL513478.2,-2.84E-12,0.999988109
ZNF658,-1.379487998,0.496257453
AL353770.4,-2.84E-12,0.999988109
AL353770.3,-2.84E-12,0.999988109
SPATA31A3,-2.84E-12,0.999988109
BX664730.1,-2.84E-12,0.999988109
ANKRD20A1,-2.84E-12,0.999988109
AL353608.2,-2.84E-12,0.999988109
CBWD3,-1.015633284,0.07190155
FOXD4L3,-2.84E-12,0.999988109
AL353608.3,16.26352704,0.999988109
AL353608.1,-2.84E-12,0.999988109
PGM5-AS1,-2.84E-12,0.999988109
TMEM252,-2.84E-12,0.999988109
AL353616.2,-2.84E-12,0.999988109
LINC01506,-2.84E-12,0.999988109
PIP5K1B,-2.84E-12,0.999988109
FAM122A,-0.101008501,0.999988109
AL354794.1,-2.84E-12,0.999988109
PRKACG,-2.84E-12,0.999988109
FXN,-0.975494444,5.22E-13
BANCR,-2.84E-12,0.999988109
FAM189A2,-2.84E-12,0.999988109
APBA1,-2.84E-12,0.999988109
AL353693.1,-2.84E-12,0.999988109
AL162412.1,-2.84E-12,0.999988109
PTAR1,-0.295760849,0.302636486
C9orf135-DT,-2.84E-12,0.999988109
C9orf135,-2.84E-12,0.999988109
MAMDC2,-2.84E-12,0.999988109
SMC5-AS1,-0.768711708,0.999988109
SMC5,0.385462298,1.40E-07
KLF9,-0.598391302,3.56E-07
TRPM3,#NAME?,0.255929558
AL159990.2,-2.84E-12,0.999988109
AL159990.1,-2.84E-12,0.999988109
CEMIP2,-0.058528256,0.999988109
ABHD17B,-0.082171239,0.999988109
C9orf85,0.29778668,0.999988109
C9orf57,-2.84E-12,0.999988109
GDA,-2.84E-12,0.999988109
AL135924.2,-2.84E-12,0.999988109
LINC01504,-2.84E-12,0.999988109
ZFAND5,-0.09713375,0.999988109
TMC1,-2.84E-12,0.999988109
LINC01474,-2.84E-12,0.999988109
ALDH1A1,-2.84E-12,0.999988109
ANXA1,0.666878868,2.08E-06
AL451127.1,-2.84E-12,0.999988109
AL355674.1,-2.84E-12,0.999988109
RORB-AS1,-2.84E-12,0.999988109
RORB,-2.84E-12,0.999988109
TRPM6,-2.84E-12,0.999988109
C9orf40,-0.429337781,0.999988109
CARNMT1,-0.430052536,0.177487583
NMRK1,-0.638753478,0.540005611
OSTF1,0.31098399,0.999988109
AL353780.1,-2.84E-12,0.999988109
PCSK5,-5.498357787,0.000993578
RFK,0.07926309,0.999988109
GCNT1,-0.616427121,0.011501892
PRUNE2,-2.84E-12,0.999988109
PCA3,-2.84E-12,0.999988109
FOXB2,-2.84E-12,0.999988109
VPS13A,-0.186342121,0.741797751
GNA14,-2.84E-12,0.999988109
GNA14-AS1,-2.84E-12,0.999988109
GNAQ,-1.060458968,4.21E-05
CEP78,0.268377493,0.999988109
PSAT1,-0.027595963,0.999988109
AL512634.1,-2.84E-12,0.999988109
AL358975.1,-2.84E-12,0.999988109
TLE4,-0.520397632,0.108057273
AL161912.1,-2.84E-12,0.999988109
AL161912.2,-2.84E-12,0.999988109
AL161782.1,-2.84E-12,0.999988109
LINC01507,-2.84E-12,0.999988109
AL138749.1,-2.84E-12,0.999988109
TLE1,#NAME?,0.032163837
AL591368.1,-2.84E-12,0.999988109
AL158154.1,-2.84E-12,0.999988109
SPATA31D4,-2.84E-12,0.999988109
AL158154.2,-2.84E-12,0.999988109
SPATA31D3,-2.84E-12,0.999988109
SPATA31D1,-2.84E-12,0.999988109
AL162726.1,-2.84E-12,0.999988109
AL162726.4,-2.84E-12,0.999988109
RASEF,-2.84E-12,0.999988109
AL137847.1,-2.84E-12,0.999988109
FRMD3,-2.84E-12,0.999988109
AL137847.2,-2.84E-12,0.999988109
IDNK,-1.259295247,0.200752215
UBQLN1,0.111339518,0.918943959
AL354920.1,-2.145197602,0.713992906
GKAP1,0.40913627,0.999988109
AL354733.1,-2.84E-12,0.999988109
AL354733.2,-2.84E-12,0.999988109
KIF27,0.407945011,0.999988109
C9orf64,0.467537943,0.999988109
HNRNPK,0.003411749,0.999988109
AL354733.3,-0.16078789,0.999988109
RMI1,0.274664869,0.999988109
AL390838.1,-2.84E-12,0.999988109
AL356134.1,-2.84E-12,0.999988109
NTRK2,-1.797669995,0.00046656
AGTPBP1,0.678449358,0.40119763
AL157882.1,-2.84E-12,0.999988109
AL353743.2,-2.84E-12,0.999988109
NAA35,-0.029152776,0.999988109
C9orf153,15.86283409,0.999988109
ISCA1,-0.10817507,0.999988109
TUT7,-0.159753961,0.999988109
AL158828.1,-2.84E-12,0.999988109
AL353613.1,-2.84E-12,0.999988109
GAS1,16.58261215,0.999988109
GAS1RR,-2.84E-12,0.999988109
AL513318.2,-2.84E-12,0.999988109
C9orf170,-2.84E-12,0.999988109
DAPK1,-2.84E-12,0.999988109
CTSL,0.499704799,0.713992906
AL772337.2,-2.84E-12,0.999988109
AL772337.1,-2.84E-12,0.999988109
SPATA31E1,-2.84E-12,0.999988109
AL353572.3,-2.84E-12,0.999988109
CDK20,-0.822392573,0.596010937
SPIN1,-0.003874302,0.999988109
NXNL2,15.86283523,0.999988109
AL592486.1,-2.84E-12,0.999988109
AL772202.1,-2.84E-12,0.999988109
SHC3,-2.84E-12,0.999988109
CKS2,0.744104967,1.48E-45
SECISBP2,-0.196297125,0.480446557
SEMA4D,-0.050341429,0.999988109
GADD45G,0.26144174,0.581486717
AL606807.1,1.470590965,0.999988109
BX470209.1,-2.84E-12,0.999988109
BX470209.2,-2.84E-12,0.999988109
AL161629.1,-2.84E-12,0.999988109
MIR4290HG,-2.84E-12,0.999988109
LINC01508,-2.84E-12,0.999988109
LINC01501,-2.84E-12,0.999988109
SYK,15.86281524,0.999988109
AL355607.1,-2.84E-12,0.999988109
AL355607.2,-2.84E-12,0.999988109
AL158071.3,-2.84E-12,0.999988109
AL158071.1,-2.84E-12,0.999988109
AL158071.4,-2.84E-12,0.999988109
LINC00484,15.86282603,0.999988109
AL158071.5,4.207333913,0.999988109
AUH,0.09141922,0.999988109
NFIL3,0.050103951,0.999988109
AL353764.1,-2.84E-12,0.999988109
ROR2,-2.907375741,0.000124161
SPTLC1,-0.044257851,0.999988109
AL136097.2,-2.84E-12,0.999988109
IARS,-0.052464694,0.999988109
NOL8,0.13890059,0.839211209
CENPP,0.317180464,0.999988109
ASPN,-2.84E-12,0.999988109
ECM2,16.58266153,0.999988109
IPPK,0.920593787,0.136597089
BICD2,0.101788018,0.999988109
ZNF484,-0.174095268,0.999988109
FGD3,-0.023366372,0.999988109
SUSD3,0.038510761,0.999988109
AL451065.1,-1.492871786,0.999988109
CARD19,-0.347762772,0.751905192
NINJ1,0.103306259,0.228295822
AL390760.1,-0.462321321,0.728315625
WNK2,0.360180017,0.999988109
C9orf129,-2.84E-12,0.999988109
AL583839.2,-2.84E-12,0.999988109
AL583839.1,-2.84E-12,0.999988109
FAM120AOS,-0.161383331,0.999988109
FAM120A,-0.176927542,0.55131546
PHF2,-0.761506334,0.145095915
AL442224.1,-2.84E-12,0.999988109
BARX1,4.257364333,0.999988109
BARX1-DT,15.86284233,0.999988109
PTPDC1,-2.358043854,0.114285022
AL158152.2,0.07193068,0.999988109
AL158152.1,0.174001449,0.999988109
MIRLET7DHG,15.86281451,0.999988109
ZNF169,0.204466028,0.999988109
NUTM2F,-2.84E-12,0.999988109
MFSD14B,0.081565774,0.999988109
PCAT7,15.86279855,0.999988109
FBP2,-2.84E-12,0.999988109
FBP1,15.86280704,0.999988109
C9orf3,1.850590466,0.243132582
AL353768.1,-2.84E-12,0.999988109
FANCC,-0.513804659,0.999988109
AL354893.2,-2.84E-12,0.999988109
AL161729.3,-2.84E-12,0.999988109
PTCH1,-3.999956512,0.000251663
AL161729.2,-2.84E-12,0.999988109
AL161729.1,-2.84E-12,0.999988109
AL161729.4,-2.84E-12,0.999988109
AL392185.1,-2.84E-12,0.999988109
AL354861.2,-2.84E-12,0.999988109
LINC00476,-0.564553871,0.759834168
AL354861.3,-2.84E-12,0.999988109
ERCC6L2,0.170705686,0.999988109
LINC00092,-0.243543427,0.999988109
AL449403.1,-2.84E-12,0.999988109
AL449403.2,-2.84E-12,0.999988109
HSD17B3,-2.84E-12,0.999988109
AL160269.1,-2.84E-12,0.999988109
HSD17B3-AS1,-2.84E-12,0.999988109
SLC35D2,-0.784011699,0.999988109
ZNF367,-0.21965049,0.999988109
HABP4,-0.331794056,0.999988109
AAED1,-0.199551053,0.999988109
AL589843.1,15.86279568,0.999988109
ZNF782,-0.865977051,0.748728273
MFSD14C,-0.42812843,0.492992963
NUTM2G,15.86283052,0.999988109
CTSV,15.86284779,0.999988109
AL590705.3,-2.84E-12,0.999988109
AL590705.1,-0.905006872,0.999988109
AL590705.2,-2.84E-12,0.999988109
TDRD7,-1.659902617,0.370883401
TMOD1,-3.408495221,0.765518804
AL162385.1,-2.84E-12,0.999988109
TSTD2,-0.284920989,0.999988109
NCBP1,0.074090697,0.999988109
AL162385.2,-2.84E-12,0.999988109
XPA,-0.10108993,0.999988109
AL445531.1,-2.84E-12,0.999988109
PTCSC2,-2.84E-12,0.999988109
FOXE1,-2.84E-12,0.999988109
TRMO,-0.034150828,0.999988109
HEMGN,-2.84E-12,0.999988109
ANP32B,-0.179363151,6.17E-06
AL354726.1,-2.84E-12,0.999988109
NANS,-0.145708413,0.57124336
TRIM14,0.034815154,0.999988109
TBC1D2,1.114164565,0.999988109
GABBR2,-2.84E-12,0.999988109
ANKS6,-0.571554553,0.658233513
GALNT12,-2.603067247,0.651911568
AL136084.2,-2.84E-12,0.999988109
COL15A1,-2.84E-12,0.999988109
AL136084.3,-2.84E-12,0.999988109
TGFBR1,-0.381437057,0.660274537
AL162427.1,-2.84E-12,0.999988109
ALG2,0.145150438,0.644284527
SEC61B,0.050084376,0.335044198
AL137067.1,-2.84E-12,0.999988109
AL162394.1,-2.84E-12,0.999988109
AL359710.1,16.26352747,0.999988109
NR4A3,-0.233258761,0.000157099
STX17,-0.344799049,0.655020795
AL358937.1,-2.84E-12,0.999988109
ERP44,-0.096422801,0.999988109
INVS,0.368143674,0.999988109
TEX10,0.106001862,0.999988109
MSANTD3,-1.151378014,0.999988109
MSANTD3-TMEFF1,-2.84E-12,0.999988109
TMEFF1,4.257362113,0.999988109
CAVIN4,-2.84E-12,0.999988109
PLPPR1,-2.84E-12,0.999988109
BAAT,15.86284225,0.999988109
MRPL50,0.194944461,0.169834941
ZNF189,0.19523572,0.999988109
ALDOB,-2.84E-12,0.999988109
TMEM246-AS1,-2.84E-12,0.999988109
RNF20,-0.266561298,0.999988109
GRIN3A,-2.84E-12,0.999988109
PPP3R2,-2.84E-12,0.999988109
LINC00587,-2.84E-12,0.999988109
CYLC2,-2.84E-12,0.999988109
LINC01492,-2.84E-12,0.999988109
AL390962.1,-2.84E-12,0.999988109
AL590381.1,-2.84E-12,0.999988109
SMC2-AS1,15.86281625,0.999988109
SMC2,-0.015607921,0.999988109
OR13F1,-2.84E-12,0.999988109
AL450426.1,-2.84E-12,0.999988109
OR13C4,-2.84E-12,0.999988109
OR13C3,-2.84E-12,0.999988109
OR13C8,-2.84E-12,0.999988109
OR13C5,-2.84E-12,0.999988109
OR13C2,-2.84E-12,0.999988109
OR13C9,-2.84E-12,0.999988109
OR13D1,-2.84E-12,0.999988109
NIPSNAP3A,-0.012321581,0.999988109
ABCA1,-3.700857949,0.088174106
AL359182.1,-2.84E-12,0.999988109
AL359182.2,#NAME?,0.208372552
SLC44A1,-1.588950363,0.106606162
FSD1L,0.535023943,0.999988109
AL158070.1,-2.84E-12,0.999988109
FKTN,0.281843439,0.999988109
TAL2,#NAME?,0.201785062
TMEM38B,-0.150066528,0.999988109
LINC01505,-2.84E-12,0.999988109
AL732323.1,-2.84E-12,0.999988109
AL451140.1,-2.84E-12,0.999988109
AL512649.2,-2.84E-12,0.999988109
LINC01505.1,-2.84E-12,0.999988109
ZNF462,-2.84E-12,0.999988109
AL807761.4,-2.84E-12,0.999988109
AL807761.3,-2.84E-12,0.999988109
RAD23B,-0.126993266,0.673908286
LINC01509,-2.84E-12,0.999988109
KLF4,-0.343220987,0.999988109
AL353742.1,-2.84E-12,0.999988109
AL358779.1,-2.84E-12,0.999988109
ACTL7B,-2.84E-12,0.999988109
ACTL7A,-2.84E-12,0.999988109
ELP1,0.400995774,0.595176788
FAM206A,0.690882938,0.236169556
CTNNAL1,0.757814211,0.00026647
TMEM245,0.987043769,1.37E-12
FRRS1L,16.90231087,0.999988109
PTPN3,-2.84E-12,0.999988109
PALM2,-2.84E-12,0.999988109
AL158829.1,-2.84E-12,0.999988109
PALM2-AKAP2,-2.84E-12,0.999988109
AKAP2,-0.222504746,0.999988109
C9orf152,-2.84E-12,0.999988109
TXN,0.61549174,4.68E-35
TXNDC8,-2.84E-12,0.999988109
SVEP1,-2.84E-12,0.999988109
AL592463.1,-2.84E-12,0.999988109
MUSK,-2.84E-12,0.999988109
LPAR1,-2.84E-12,0.999988109
AL162414.1,-2.84E-12,0.999988109
OR2K2,-2.84E-12,0.999988109
ECPAS,-0.203965418,0.496891311
AL135787.1,-2.84E-12,0.999988109
DNAJC25,-0.275458295,0.821559394
DNAJC25-GNG10,0.284316458,0.999988109
GNG10,0.363750468,0.517237134
C9orf84,-2.84E-12,0.999988109
UGCG,0.244373836,0.462280759
SUSD1,-0.339645615,0.999988109
PTBP3,0.017421871,0.999988109
HSDL2,-0.202812906,0.999988109
C9orf147,-2.306256949,0.210513158
KIAA1958,-0.862022426,0.126609639
INIP,-0.180503335,0.995225577
AL390067.1,-2.84E-12,0.999988109
SNX30,-0.24475444,0.999988109
SLC46A2,-2.84E-12,0.999988109
AL139041.1,4.257354307,0.999988109
ZNF883,-0.364158281,0.999988109
ZFP37,-0.43261306,0.999988109
FAM225B,-2.84E-12,0.999988109
FAM225A,-2.84E-12,0.999988109
SLC31A2,-0.581763927,0.270338319
FKBP15,0.100325915,0.999988109
SLC31A1,-0.248229382,0.999988109
CDC26,0.115449108,0.839154345
PRPF4,-0.081984137,0.999988109
RNF183,-2.84E-12,0.999988109
BSPRY,-0.566565142,0.088261643
HDHD3,-0.092439832,0.999988109
POLE3,0.006793964,0.999988109
RGS3,-1.058601608,0.000424383
AL162727.2,-2.84E-12,0.999988109
AL162727.1,-2.84E-12,0.999988109
AL157702.2,-2.84E-12,0.999988109
AMBP,-2.84E-12,0.999988109
KIF12,-2.84E-12,0.999988109
COL27A1,1.664476486,0.462176113
ORM1,-2.84E-12,0.999988109
ORM2,-2.84E-12,0.999988109
AKNA,-0.425292549,0.284773677
AL138895.1,#NAME?,0.116161243
WHRN,-0.571567375,0.613465813
ATP6V1G1,-0.071695545,0.6554
